query-id match-id score boundaries resolved cond-evalue indp-evalue
P31244 Helicase_C 55 619-734 619-734 1.9e-18 9.3e-15
Q06407 LIM 37.2 13-69 13-69 2.8e-13 2.7e-09
Q06407 RhoGAP 153.9 802-984 802-984 3e-49 2.9e-45
P0CX44 Ribosomal_L1 143.8 16-212 16-212 3.2e-46 6.2e-42
P36520 Ribosomal_L27A 106.3 85-211 85-211 8e-35 1.5e-30
P32387 Ribosomal_L23 45.4 91-170 91-170 4.2e-16 8e-12
P20084 Ribosomal_L30 58 4-54 4-54 3.8e-20 7.2e-16
P10664 Ribosomal_L4 148.9 20-261 20-261 1.4e-47 1.4e-43
P10664 Ribos_L4_asso_C 104.9 272-348 272-348 1.9e-34 1.8e-30
P17890 RNA_pol_3_Rpc31 189.1 19-236 19-236 5.7e-60 1.1e-55
P41057 Ribosomal_S14 56.9 6-56 6-56 7.2e-20 1.4e-15
Q05942 Rsa3 68.4 160-205 160-205 1.6e-23 3e-19
Q03976 MRP-S28 180.5 171-299 171-299 8.5e-58 1.6e-53
P53733 Ribosomal_S19 96.8 10-85 10-85 2.7e-32 5.2e-28
P38632 zf-Nse 78.8 171-227 171-227 1.2e-26 2.3e-22
P53427 SRP1_TIP1 95 22-115 22-115 1.2e-31 2.3e-27
P38768 PIH1 67.5 6-181 6-181 1.1e-22 1e-18
P38768 Pih1_fungal_CS 52 264-344 264-344 8.3e-18 7.9e-14
P53174 DUP 121.6 39-171 39-171 7.5e-40 1.4e-35
Q08647 TruD 237.9 195-584,629-658 195-584,629-658 9.9e-75 1.9e-70
P11938 BRCT_2 61.6 124-207 124-207 2e-20 7.7e-17
P11938 Myb_DNA-binding 41.7 360-411 360-411 2.7e-14 1e-10
P11938 Rap1-DNA-bind 147.3 448-579 448-579 6.1e-47 2.3e-43
P11938 Rap1_C 80.4 740-823 740-823 2.1e-26 8.1e-23
Q00453 zf-C2H2 26.3 19-44 19-44 3.6e-10 7e-06
Q00453 zf-C2H2 21 50-73 50-73 1.7e-08 0.00033
P43565 Pkinase 129.6 794-954 794-954 2.2e-41 1.4e-37
P43565 Pkinase 76.3 1132-1254 1132-1254 3.9e-25 2.5e-21
P0C2H7 Ribosomal_L27e 125.5 52-136 52-136 4.3e-41 8.3e-37
O14455 Ribosomal_L36e 126.4 4-99 4-99 2.2e-41 4.2e-37
P27801 Pep3_Vps18 142.9 214-379 214-379 7.1e-46 6.8e-42
P27801 Clathrin 74.3 585-740 585-740 9.9e-25 9.5e-21
Q02890 Rad4 38.1 214-309 214-309 1.2e-13 1.2e-09
P38361 PHO4 406.8 24-227,386-554 24-227,386-554 4.1e-126 7.8e-122
Q05788 PNP_UDP_1 153.1 39-309 39-309 3.9e-49 7.6e-45
P40506 DFP 27.8 71-141 71-141 1.1e-10 2e-06
P40506 DFP 21.1 170-326 170-326 1.2e-08 0.00023
P40303 Proteasome_A_N 48.6 4-26 4-26 4.9e-17 4.7e-13
P40303 Proteasome 194.8 27-215 27-215 1.1e-61 1e-57
P33411 Prp18 131.1 114-246 114-246 1.8e-42 3.4e-38
P23724 Proteasome 120.6 26-226 26-226 3.1e-39 6e-35
P30402 Pribosyltran 50 44-191 44-191 1.1e-17 2.2e-13
P39729 MMR_HSR1 66.2 67-187 67-187 5.6e-22 2.7e-18
P39729 MMR_HSR1_Xtn 127.4 187-293 188-293 4.3e-41 2.1e-37
P39729 TGS 79.2 294-368 294-368 3.8e-26 1.8e-22
Q03530 Rce1-like 52 138-254 138-254 3.8e-18 7.2e-14
P43556 FCH 38.2 16-95 16-95 2.2e-13 1.4e-09
P43556 DEP 39.7 218-289 218-289 6.3e-14 4e-10
P43556 RhoGAP 30.4 513-656 513-656 4.9e-11 3.1e-07
P05745 Ribosomal_L36e 126 4-99 4-99 2.9e-41 5.5e-37
P36532 Ribosomal_L37 63.5 25-80 25-80 1.3e-21 2.5e-17
P32529 RNA_POL_M_15KD 53.2 7-42 7-42 2.2e-18 2.1e-14
P32529 TFIIS_C 62.8 84-122 84-122 2.1e-21 2e-17
P40033 Ribosomal_S18 64.9 86-138 86-138 2.8e-22 5.5e-18
Q12326 His_Phos_1 55.8 9-106 9-106 2.6e-19 4.9e-15
Q12326 His_Phos_1 28 166-280 166-280 8.8e-11 1.7e-06
P21243 Proteasome_A_N 55.2 12-34 12-34 4.3e-19 4.1e-15
P21243 Proteasome 161.1 37-228 37-228 2.3e-51 2.2e-47
P40359 Sld5 69.5 69-178 69-178 1.7e-23 3.3e-19
P38972 FGAR-AT_N 94.5 40-181 40-181 8.9e-31 4.2e-27
P38972 FGAR-AT_linker 78.1 207-257 207-257 1.2e-25 5.8e-22
P38972 AIRS_C 108.2 471-630 471-630 9e-35 4.3e-31
P38972 AIRS_C 36.4 864-1006 864-1006 1.1e-12 5.5e-09
P38972 GATase_5 344.8 1090-1357 1090-1357 5.4e-107 2.6e-103
P14737 Rad9_Rad53_bind 170 772-900 772-900 2.7e-54 2.6e-50
P14737 BRCT 58.2 994-1109 994-1109 8.8e-20 8.4e-16
P21651 Mer2 241.7 22-214 22-214 3e-76 5.8e-72
Q12188 Rad21_Rec8_N 56.2 11-136 11-136 1.9e-19 3.6e-15
Q07844 AAA 147.3 242-377 242-377 3.9e-46 3.5e-43
Q07844 AAA_lid_3 40.7 399-443 399-443 1.8e-13 1.6e-10
Q07844 AAA 161 570-700 570-700 2.3e-50 2.1e-47
Q07844 AAA_lid_3 39.9 724-799 724-799 3.2e-13 2.9e-10
Q02753 Ribosomal_L21e 159.3 1-101 1-101 1.1e-51 2e-47
P36525 Ribosomal_L28 68.6 70-129 70-129 2.1e-23 4e-19
P54790 ORC_WH_C 64.9 484-613 484-613 4.8e-22 9.2e-18
P52891 Nup84_Nup100 611.6 65-722 65-722 9.8e-188 1.9e-183
Q07913 SMC_Nse1 175.2 18-258 18-258 1.5e-55 1.5e-51
Q07913 zf-RING-like 51.9 271-324 271-324 6.8e-18 6.5e-14
P50946 Y_phosphatase2 202.8 67-236 67-236 2.8e-64 2.7e-60
P09232 Inhibitor_I9 47.8 182-280 182-280 1.9e-16 1.8e-12
P09232 Peptidase_S8 137.3 316-583 316-583 6.5e-44 6.3e-40
P26570 STPPase_N 67.1 363-411 363-411 1.5e-22 1.4e-18
P26570 Metallophos 122.1 412-607 412-607 4.7e-39 4.5e-35
P53633 PRA1 133.5 31-173 31-173 2.2e-43 4.3e-39
Q07807 PUF 30.3 542-576 542-576 1.4e-11 2.6e-07
Q07807 PUF 26.3 578-610 578-610 2.4e-10 4.6e-06
Q07807 PUF 34.3 614-648 614-648 7.4e-13 1.4e-08
Q07807 PUF 19.1 650-680 650-680 4.3e-08 0.00083
Q07807 PUF 48.9 686-720 686-720 2.1e-17 3.9e-13
Q07807 PUF 13.4 723-750 723-750 2.6e-06 0.05
Q07807 PUF 26.6 764-798 764-798 1.9e-10 3.7e-06
Q07807 PUF 14.9 814-846 814-846 8.8e-07 0.017
Q00816 DUF1752 48.4 173-204 173-204 3.4e-17 6.6e-13
Q06709 zf-C2H2_2 99 186-287 186-287 8.8e-33 1.7e-28
P05740 Ribosomal_L22 123.5 17-56,87-151 17-56,87-151 2e-40 3.8e-36
Q12690 Ribosomal_L13e 226.6 8-175 8-175 1.1e-71 2.1e-67
P38061 Ribosomal_L32e 157.3 14-121 14-121 7.7e-51 1.5e-46
Q01080 RNA_pol_I_A49 419.9 33-404 33-404 4.7e-130 9e-126
P38204 UAF_Rrn10 236.7 1-120 1-120 2.5e-75 4.9e-71
P38792 ECR1_N 60.9 54-91 54-91 8e-21 7.7e-17
P38792 KH_6 35.1 197-239 197-239 1.5e-12 1.5e-08
Q3E7Y3 Ribosomal_S8 81.7 5-130 5-130 2.3e-27 4.5e-23
P54999 LSM 68.2 17-83 17-83 2e-23 3.9e-19
Q02629 Nucleoporin_FG 8.5 1-74 1-74 0.00042 4
Q02629 Nucleoporin_FG 28.3 210-290 210-288 2.6e-10 2.5e-06
Q02629 Nucleoporin_FG 35.6 287-378 289-378 1.4e-12 1.4e-08
Q02629 Nucleoporin_FG 36.1 428-509 428-508 1e-12 9.7e-09
Q02629 Nucleoporin_FG 19.3 507-596 509-596 1.8e-07 0.0017
Q02629 Nucleoporin2 120.6 814-956 814-956 6.7e-39 6.4e-35
P53112 Pex14_N 59.3 8-53 8-53 1.1e-20 2.1e-16
Q07987 SRP1_TIP1 90.7 25-118 25-118 2.7e-30 5.2e-26
P38624 Proteasome 163.3 16-197 16-197 2.4e-52 4.6e-48
P33334 PRO8NT 261.4 131-282 131-282 9e-82 2.5e-78
P33334 PROCN 723.9 470-874 470-874 1.6e-221 4.5e-218
P33334 RRM_4 158 1059-1150 1059-1150 2.3e-50 6.2e-47
P33334 U5_2-snRNA_bdg 235 1282-1415 1282-1415 8.5e-74 2.3e-70
P33334 U6-snRNA_bdg 281 1514-1672 1514-1672 9.8e-88 2.7e-84
P33334 PRP8_domainIV 405.4 1832-2061 1832-2061 2.5e-125 6.8e-122
P33334 PROCT 153 2289-2411 2289-2411 1.2e-48 3.3e-45
P21264 ATP-grasp 207.2 113-285 113-285 2.1e-65 1.3e-61
P21264 PurK_C 64.8 316-375 316-375 7.3e-22 4.6e-18
P21264 AIRC 207.5 404-551 404-551 1.1e-65 6.7e-62
P25339 PUF 25.9 567-599 567-599 3.1e-10 6e-06
P25339 PUF 27.6 603-634 603-634 9.5e-11 1.8e-06
P25339 PUF 30.5 639-673 639-673 1.1e-11 2.2e-07
P25339 PUF 32.2 676-710 676-710 3.5e-12 6.6e-08
P25339 PUF 46.3 712-746 712-746 1.3e-16 2.5e-12
P25339 PUF 11.1 749-774 749-774 1.4e-05 0.26
P25339 PUF 18.6 788-819 788-819 6.4e-08 0.0012
P25339 PUF 6.3 828-857 828-857 0.00043 8.3
Q12221 RRM_1 26.5 337-390 337-390 4.7e-10 4.5e-06
Q12221 PUF 14.9 580-612 580-612 1.8e-06 0.017
Q12221 PUF 8.5 617-648 617-648 0.00018 1.7
Q12221 PUF 8.1 659-676 659-676 0.00025 2.4
P32901 PTR2 372.6 155-536 155-536 1.2e-115 2.3e-111
Q03713 HIG_1_N 60.2 30-81 30-81 9e-21 1.7e-16
P51401 Ribosomal_L6 64.4 12-85 12-85 6.5e-22 1.2e-17
P51401 Ribosomal_L6 53.3 97-178 97-178 1.9e-18 3.6e-14
Q04031 Nop25 132.5 18-161 18-161 7.3e-43 1.4e-38
P53256 RNase_PH 69.5 2-126 2-126 4.4e-23 4.2e-19
P53256 RNase_PH_C 38 129-201 129-201 1.3e-13 1.3e-09
P0CX48 Ribosomal_S17_N 109.1 8-71 8-71 1.2e-35 1.2e-31
P0CX48 Ribosomal_S17 96 73-141 73-141 1.2e-31 1.1e-27
P07272 Zn_clus 39.9 32-71 32-71 3.7e-14 3.6e-10
P07272 Fungal_trans 184.7 287-606 287-606 1.8e-58 1.7e-54
P53549 Prot_ATP_ID_OB 30.7 105-160 105-160 8e-11 2.6e-07
P53549 AAA 143 218-351 218-351 2.3e-45 7.2e-42
P53549 AAA_lid_3 30.7 373-417 373-417 6.8e-11 2.2e-07
P39551 DUP 116.7 103-232 103-232 2.4e-38 4.7e-34
P33329 STPPase_N 67.8 398-446 398-446 9e-23 8.6e-19
P33329 Metallophos 118.9 447-642 447-642 4.5e-38 4.3e-34
P25332 PfkB 164.1 2-325 2-325 2.5e-52 4.9e-48
P11154 Biotin_carb_N 131.6 18-130 18-130 9.4e-42 1.8e-38
P11154 CPSase_L_D2 289.6 135-344 135-344 6.5e-90 1.2e-86
P11154 Biotin_carb_C 103.6 359-467 359-467 3.1e-33 6e-30
P11154 HMGL-like 99.1 557-829 557-829 1.7e-31 3.2e-28
P11154 PYC_OADA 233.2 851-1051 851-1051 1.2e-72 2.3e-69
P11154 Biotin_lipoyl 69.2 1101-1168 1101-1168 1.1e-22 2.2e-19
P53721 HIG_1_N 22.6 120-165 120-165 4.9e-09 9.4e-05
P26755 Rep_fac-A_3 117.2 1-122 1-122 2e-38 3.9e-34
P32445 SSB 71.4 19-116 19-116 3e-24 5.8e-20
P26785 Ribosomal_L13 86.7 3-110 3-110 6.5e-29 1.2e-24
P47076 RNA_pol_Rpb4 120 10-161 10-161 3.9e-39 7.4e-35
P25042 HMG_box 62.1 10-83 10-83 5.3e-21 5.1e-17
P40156 Neugrin 25.7 73-131 73-131 4.9e-10 9.4e-06
P39533 Aconitase 518.8 58-505 58-505 1.6e-159 1.5e-155
P39533 Aconitase_C 148.6 585-714 585-714 1.3e-47 1.2e-43
Q02895 Aldo_ket_red 190.9 18-336 18-336 1.3e-60 2.6e-56
Q00362 WD40 17.9 278-319 278-319 2.3e-07 0.0045
P53109 Ferric_reduct 79.9 101-220 101-220 2.6e-26 1.6e-22
P53109 FAD_binding_8 73.5 253-365 253-365 2.1e-24 1.4e-20
P53109 NAD_binding_6 105.9 371-557 371-557 3.4e-34 2.2e-30
P47127 AIM24 104.4 49-246,295-322 49-246,295-322 3.7e-34 7.1e-30
Q12157 zf-ANAPC11 160.1 1-102 1-102 1.2e-51 1.1e-47
Q08235 Brix 139 38-224 38-224 1.1e-44 2.1e-40
P47136 PH 41 1303-1413 1303-1413 1.2e-14 2.3e-10
P15703 Glyco_hydro_17 342.2 27-310 27-310 1.9e-106 3.7e-102
P50084 Spo12 60.9 89-123 89-123 4.2e-21 8e-17
P38041 SH3_1 44 19-69 19-69 2e-15 1.3e-11
P38041 SAM_2 52.1 225-290 225-290 8.4e-18 5.4e-14
P38041 PH 65.2 777-894 777-894 1.1e-21 6.8e-18
Q12128 RhoGAP 126.9 76-235 76-235 3e-41 5.8e-37
Q06350 Glyco_hydro_18 276.5 74-126,157-452 74-126,157-452 2.1e-86 4e-82
P07834 CDC4_D 65.5 224-272 224-272 7.9e-22 3e-18
P07834 F-box-like 33.2 275-322 275-322 9.9e-12 3.8e-08
P07834 WD40 22.6 371-408 371-408 3.9e-08 0.00015
P07834 WD40 26.6 412-449 412-449 2.1e-09 8e-06
P07834 WD40 26.2 453-493 453-493 2.8e-09 1.1e-05
P07834 WD40 21.9 521-556 521-556 6.6e-08 0.00025
P07834 WD40 22.5 560-598 560-598 4.1e-08 0.00016
P38170 Cnd2 349.3 3-634 3-631 3.4e-108 6.5e-104
P38170 Cnd2 120.9 628-744 632-744 4.1e-39 7.9e-35
Q08685 CLP1_N 73.1 27-120 27-120 2.6e-24 1.7e-20
Q08685 CLP1_P 108.5 130-335 130-335 5.9e-35 3.7e-31
Q08685 Clp1 89.8 341-445 341-445 2.5e-29 1.6e-25
P17261 PQ-loop 42.8 6-64 6-64 1.8e-15 3.4e-11
P17261 PQ-loop 48.9 154-213 154-213 2.2e-17 4.2e-13
Q12403 EMP24_GP25L 122.4 23-218 23-218 1.1e-39 2.1e-35
Q08911 2-Hacid_dh_C 135.7 130-327 130-327 1.2e-43 1.1e-39
Q03898 FIN1 241.2 15-283 15-283 6.3e-76 1.2e-71
P53279 MARVEL 94.9 2-140 2-140 2.4e-31 4.6e-27
P38297 Dynamin_N 50.8 190-372 190-372 3.2e-17 2.1e-13
P40060 IES5 148.2 10-123 10-123 5.7e-48 1.1e-43
P32617 YL1_C 41.6 115-143 115-143 4.2e-15 8.1e-11
P28834 Iso_dh 250.9 30-357 30-357 1.1e-78 2.1e-74
P41734 Lipase_GDSL_2 82.6 8-198 8-198 4.9e-27 4.7e-23
Q08773 SNF2-rel_dom 269.6 187-470 187-470 7.8e-84 3e-80
Q08773 Helicase_C 69 490-604 490-604 1.1e-22 4.3e-19
Q08773 HAND 118.9 754-887 754-887 4.7e-38 1.8e-34
Q08773 SLIDE 135.3 944-1059 944-1059 2.5e-43 9.6e-40
P47156 JmjN 39.7 5-40 5-40 4.9e-14 3.1e-10
P47156 PHD 47.8 237-285 237-285 1.7e-16 1.1e-12
P47156 JmjC 142.7 414-532 414-532 1e-45 6.4e-42
P21954 Iso_dh 245.6 21-416 21-416 4.7e-77 9e-73
P04806 Hexokinase_1 243.4 26-221 26-221 2.1e-76 2e-72
P04806 Hexokinase_2 267.6 227-469 227-469 9.4e-84 9e-80
P04807 Hexokinase_1 236.2 26-221 26-221 3.3e-74 3.1e-70
P04807 Hexokinase_2 264.3 227-470 227-470 9.7e-83 9.3e-79
P17709 Hexokinase_1 240 17-228 17-228 2.3e-75 2.2e-71
P17709 Hexokinase_2 255.6 245-499 245-499 4.5e-80 4.3e-76
P32464 Mo25 394.3 14-354 14-354 2.7e-122 5.1e-118
P43581 Sugar_tr 558.5 52-512 52-512 1.2e-171 1.2e-167
P54862 Sugar_tr 570.5 64-526 64-526 2.8e-175 2.7e-171
P39924 Sugar_tr 541.1 60-521 60-521 2.4e-166 2.3e-162
P42833 Sugar_tr 387.9 63-537 63-537 6.9e-120 6.6e-116
P54854 Sugar_tr 526.4 63-524 63-524 6.7e-162 6.4e-158
P47185 Sugar_tr 524 63-524 63-524 3.7e-161 3.6e-157
P53631 Sugar_tr 540.2 60-521 60-521 4.4e-166 4.3e-162
P32465 Sugar_tr 574.6 68-528 68-528 1.6e-176 1.6e-172
P23585 Sugar_tr 574.3 59-519 59-519 2.1e-176 2e-172
P32466 Sugar_tr 578 65-525 65-525 1.5e-177 1.5e-173
P32467 Sugar_tr 572.6 74-534 74-534 6.5e-176 6.2e-172
P38695 Sugar_tr 581 89-549 89-549 1.9e-178 1.8e-174
P39003 Sugar_tr 580.2 68-528 68-528 3.2e-178 3e-174
P39004 Sugar_tr 580.2 68-528 68-528 3.2e-178 3e-174
P40886 Sugar_tr 563.7 69-530 69-530 3.4e-173 3.2e-169
P40885 Sugar_tr 572.3 64-526 64-526 7.9e-176 7.6e-172
P07286 Glycos_transf_4 120.3 129-305 129-305 4.2e-39 8e-35
P36035 Sugar_tr 276 125-563 125-563 6.4e-86 6.2e-82
P40565 RRM_1 67.7 33-103 33-103 3.2e-23 6.1e-19
P38211 Mannosyl_trans2 562 2-433 2-433 6.7e-173 1.3e-168
P32363 PIGA 151.5 42-131 42-131 2.5e-48 8e-45
P32363 Glycos_transf_1 89.2 194-348 194-348 7.4e-29 2.4e-25
P17695 Glutaredoxin 57.1 53-119 53-119 8.5e-20 1.6e-15
Q02630 Nucleoporin_FG 7.1 1-134 1-134 0.0011 11
Q02630 Nucleoporin_FG 7 152-217 152-215 0.0012 12
Q02630 Nucleoporin_FG 24.6 214-291 216-291 3.9e-09 3.7e-05
Q02630 Nucleoporin_FG 34.9 349-442 349-442 2.4e-12 2.3e-08
Q02630 Nucleoporin_FG 42.2 560-651 560-651 1.3e-14 1.2e-10
Q02630 Nucleoporin_FG 19.3 653-751 653-751 1.8e-07 0.0017
Q02630 Nucleoporin2 132.1 967-1111 967-1111 1.9e-42 1.8e-38
P38271 PH 37.3 216-318 216-318 1.7e-13 3.2e-09
P32854 Syntaxin_2 80.4 33-141 33-141 1.7e-26 1.1e-22
P32854 SNARE 56.2 231-283 231-283 4.1e-19 2.6e-15
P32523 Prp19 86.5 73-139 73-139 4.8e-29 9.2e-25
P53043 PPP5 82.4 120-233 120-233 5.9e-27 2.3e-23
P53043 Metallophos 112.1 242-438 242-438 1.3e-35 5.1e-32
P38958 Pet100 39.3 12-91 12-91 3.8e-14 7.3e-10
Q01329 SYMPK_PTA1_N 219.7 91-333 91-333 2.1e-69 4e-65
Q12161 zf-C3HC4_4 38.8 30-71 30-71 2.7e-13 8.5e-10
P24000 Ribosomal_L24e 98.9 1-66 1-66 8e-33 1.5e-28
P32496 CSN8_PSD8_EIF3K 66.1 100-246 100-246 1.8e-22 3.5e-18
P11745 LRR_6 10.1 43-63 43-63 8.1e-05 0.77
P11745 LRR_6 9.7 106-122 106-122 0.00011 1.1
Q08746 RRS1 208.8 18-199 18-199 2.4e-66 4.6e-62
Q08745 S10_plectin 144.2 3-95 3-95 5.1e-47 9.7e-43
Q01855 Ribosomal_S19 106.6 43-128 43-128 2.3e-35 4.5e-31
P39939 Ribosomal_S26e 173 1-108 1-108 1e-55 2e-51
P0CX55 Ribosomal_S13 191.7 16-144 16-144 3.1e-61 5.9e-57
P03882 LAGLIDADG_2 164.6 34-208 34-208 1e-52 2e-48
Q03144 SNO 314.3 18-223 18-223 3e-98 2.8e-94
P33336 SKN1_KRE6_Sbg1 822.2 249-763 249-763 6.7e-252 1.3e-247
P42843 F-box-like 26.6 57-103 57-103 4.5e-10 4.3e-06
P25357 Myb_DNA-binding 33.1 889-933 889-933 5.4e-12 5.2e-08
Q03868 Spo7_2_N 84.6 31-94 31-94 3e-28 2.9e-24
Q03868 PH_4 255.9 1032-1228 1032-1228 2.3e-80 2.2e-76
Q08817 LRR_8 30.1 45-105 45-105 4.8e-11 3.1e-07
Q08817 LRR_8 29.7 112-174 112-174 6.8e-11 4.4e-07
Q08817 SOG2 503.7 299-781 299-781 1.4e-154 8.6e-151
P38247 SLM4 212.6 3-161 3-161 1.6e-67 3.1e-63
P32343 SPRY 50.6 230-345 230-345 1e-17 1.9e-13
P41930 SLAC1 262.3 12-409 12-409 3.6e-82 6.9e-78
P47002 Peptidase_S64 916.2 1-693 1-693 8.2e-280 1.6e-275
P39926 Syntaxin 75.4 39-230 39-230 5.3e-25 5.1e-21
P39926 SNARE 57.4 230-285 231-285 1.2e-19 1.1e-15
P25344 SAM_Ste50p 135 30-104 30-104 8.4e-44 8e-40
P25344 RA 55.6 239-327 239-327 6.9e-19 6.6e-15
P41806 VMA21 39.2 8-61 8-61 3.1e-14 6e-10
P39933 zf-C2H2 20.8 80-102 80-102 1e-07 0.0004
P39933 zf-C2H2 18.9 108-130 108-130 4.1e-07 0.0016
P39933 zf-C2H2_4 23.1 163-186 163-186 2.4e-08 9.1e-05
P39933 zf-C2H2 16.3 365-389 365-389 2.7e-06 0.01
Q12052 Methyltransf_15 229.7 98-262 98-262 2.2e-72 1.4e-68
P36165 DUF3336 116.3 143-275 143-275 9.3e-38 8.9e-34
P36165 Patatin 91.9 282-482 282-482 6.5e-30 6.2e-26
Q03050 SRP1_TIP1 95 22-115 22-115 1.2e-31 2.3e-27
P20133 Prenyltrans 26.3 55-99 55-99 2.4e-10 4.6e-06
P20133 Prenyltrans 38.9 107-150 107-150 2.8e-14 5.4e-10
P20133 Prenyltrans 50.2 155-198 155-198 8.5e-18 1.6e-13
P20133 Prenyltrans 49.1 206-249 206-249 1.8e-17 3.5e-13
P20133 Prenyltrans 48.3 254-298 254-298 3.4e-17 6.5e-13
P0CE93 SRP1_TIP1 95.7 22-115 22-115 7.1e-32 1.4e-27
P30657 Proteasome 87 38-233 38-233 6.3e-29 1.2e-24
P38148 DSPc 74.7 650-780 650-780 6.4e-25 6.1e-21
P41805 Ribosomal_L16 120 12-166 12-166 3.7e-39 7.1e-35
P51402 Ribosomal_L37e 93.8 2-54 2-54 2.8e-31 5.4e-27
Q12189 Rib_5-P_isom_A 199.1 74-251 74-251 2.3e-63 4.5e-59
P25299 RRM_1 70.6 20-90 20-90 7.9e-24 7.5e-20
P25299 CSTF_C 37.5 252-291 252-291 1.5e-13 1.5e-09
Q06511 Rrp15p 99.3 102-242 102-242 1.2e-32 2.3e-28
Q12133 SPC22 201.3 1-181 1-181 4.3e-64 8.2e-60
P53394 Sulfate_transp 366 119-513 119-513 2e-113 1.9e-109
P53394 STAS 96.6 576-707 576-707 7.8e-32 7.4e-28
P40073 SH3_1 45.9 306-353 306-353 5.1e-16 3.3e-12
P39073 Pkinase 183.1 169-463 169-463 7.3e-58 7e-54
P38789 Brix 169.9 33-239,322-341 33-239,322-341 3.5e-54 6.8e-50
P32583 SRP40_C 83.3 334-404 334-404 9.4e-28 1.8e-23
P32048 tRNA_anti-codon 39.2 101-193 101-193 8.8e-14 5.6e-10
P32048 tRNA-synt_2 205.1 207-410,447-570 207-410,447-570 2.2e-64 1.4e-60
O13539 THP2 169.9 115-243 115-243 1.4e-54 2.6e-50
Q12272 PTS_2-RNA 202.6 9-192 9-192 3e-64 5.8e-60
P07275 Aldedh 338.8 70-558 70-558 2.3e-105 4.4e-101
P38344 zf-C2H2_2 113.1 162-264 162-264 3.7e-37 7e-33
Q04231 Rad33 24.6 56-142 56-142 1.2e-09 2.3e-05
P16664 Rgp1 357.6 132-614 132-614 5.8e-111 1.1e-106
Q06624 ThiF 121.3 16-166,294-346 16-166,294-346 1.8e-39 3.5e-35
